"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"42","2","J98","","17_80 y más","4"
"50","1","I62","","15_70 a 74","1"
"22","1","I51","","15_70 a 74","11"
"22","1","W77","","08_35 a 39","1"
"38","2","D37","","11_50 a 54","1"
"46","1","C25","","13_60 a 64","1"
"70","1","C24","","16_75 a 79","1"
"14","2","C90","","13_60 a 64","3"
"70","1","I61","","13_60 a 64","7"
"86","1","I50","","12_55 a 59","8"
"86","2","D43","","13_60 a 64","1"
"02","2","J93","","14_65 a 69","2"
"90","1","I21","","16_75 a 79","30"
"06","2","X64","","13_60 a 64","2"
"54","1","I21","","15_70 a 74","16"
"90","1","C34","","12_55 a 59","12"
"30","1","I69","","16_75 a 79","3"
"54","2","K65","","02_1 a 9","1"
"82","1","D43","","02_1 a 9","1"
"06","2","K51","","17_80 y más","3"
"34","2","Y83","","17_80 y más","2"
"62","1","I61","","13_60 a 64","2"
"90","1","X70","","05_20 a 24","17"
"50","1","W73","","09_40 a 44","1"
"10","1","N19","","13_60 a 64","2"
"42","2","L93","","12_55 a 59","1"
"70","1","I61","","11_50 a 54","4"
"06","2","C90","","09_40 a 44","3"
"50","2","I61","","12_55 a 59","6"
"22","2","D37","","11_50 a 54","1"
"94","2","I70","","16_75 a 79","1"
"46","1","X70","","12_55 a 59","2"
"22","2","N19","","15_70 a 74","2"
"38","1","C61","","17_80 y más","15"
"02","2","X70","","10_45 a 49","2"
"46","1","I49","","17_80 y más","11"
"06","1","I50","","11_50 a 54","286"
"90","1","C17","","06_25 a 29","1"
"82","1","I12","","14_65 a 69","1"
"06","1","W84","","03_10 a 14","2"
"74","1","K65","","16_75 a 79","1"
"06","1","B20","","13_60 a 64","3"
"30","1","C76","","12_55 a 59","2"
"22","2","I50","","10_45 a 49","1"
"14","2","I10","","15_70 a 74","3"
"54","1","L93","","12_55 a 59","1"
"78","1","K56","","17_80 y más","2"
"06","2","I62","","10_45 a 49","1"
"22","1","E66","","09_40 a 44","1"
"82","1","X99","","08_35 a 39","6"
"30","1","G30","","15_70 a 74","2"
"90","2","G11","","09_40 a 44","1"
"18","1","I69","","14_65 a 69","1"
"06","2","C19","","15_70 a 74","2"
"50","1","C25","","17_80 y más","24"
"14","1","A09","","16_75 a 79","2"
"42","1","C60","","17_80 y más","1"
"06","1","R99","","15_70 a 74","400"
"62","1","Y09","","12_55 a 59","1"
"66","1","K74","","14_65 a 69","3"
"38","1","J85","","03_10 a 14","1"
"74","1","E88","","01_Menor de 1 año","1"
"62","2","J96","","17_80 y más","11"
"38","1","D43","","12_55 a 59","1"
"70","2","C54","","17_80 y más","1"
"82","1","P96","","01_Menor de 1 año","8"
"46","2","C19","","16_75 a 79","1"
"02","1","K55","","12_55 a 59","1"
"22","2","L89","","14_65 a 69","1"
"30","2","I63","","17_80 y más","4"
"14","2","K70","","10_45 a 49","2"
"14","2","C50","","06_25 a 29","1"
"62","1","Y21","","10_45 a 49","1"
"34","2","K65","","17_80 y más","1"
"18","1","L89","","99_Sin especificar","1"
"82","2","G04","","09_40 a 44","1"
"30","2","N17","","13_60 a 64","2"
"06","2","C56","","12_55 a 59","48"
"50","2","X80","","12_55 a 59","1"
"54","1","I50","","17_80 y más","64"
"30","2","O06","M","04_15 a 19","1"
"82","1","K70","","99_Sin especificar","1"
"06","1","Y83","","16_75 a 79","22"
"30","1","P57","","01_Menor de 1 año","1"
"46","2","C55","","13_60 a 64","2"
"38","2","C06","","14_65 a 69","1"
"70","1","J44","","14_65 a 69","7"
"30","2","V27","","07_30 a 34","2"
"14","1","J84","","13_60 a 64","3"
"54","2","C18","","13_60 a 64","1"
"90","2","K50","","12_55 a 59","1"
"14","1","C43","","17_80 y más","7"
"86","1","V89","","05_20 a 24","7"
"06","1","J96","","17_80 y más","1427"
"06","1","P29","","01_Menor de 1 año","53"
"14","1","G40","","10_45 a 49","1"
