anio,categoria,edad_bracket,muertes
2013,Y20-Y25/Y28-Y30,70-79,19
2013,Y20-Y25/Y28-Y30,80+,14
2014,Y20-Y25/Y28-Y30,0-19,56
2014,Y20-Y25/Y28-Y30,20-39,107
2014,Y20-Y25/Y28-Y30,40-49,30
2014,Y20-Y25/Y28-Y30,50-59,31
2014,Y20-Y25/Y28-Y30,60-69,21
2014,Y20-Y25/Y28-Y30,70-79,13
2014,Y20-Y25/Y28-Y30,80+,20
2015,Y20-Y25/Y28-Y30,0-19,48
2015,Y20-Y25/Y28-Y30,20-39,99
2015,Y20-Y25/Y28-Y30,40-49,31
2015,Y20-Y25/Y28-Y30,50-59,30
2015,Y20-Y25/Y28-Y30,60-69,24
2015,Y20-Y25/Y28-Y30,70-79,14
2015,Y20-Y25/Y28-Y30,80+,13
2016,Y20-Y25/Y28-Y30,0-19,54
2016,Y20-Y25/Y28-Y30,20-39,99
2016,Y20-Y25/Y28-Y30,40-49,32
2016,Y20-Y25/Y28-Y30,50-59,37
2016,Y20-Y25/Y28-Y30,60-69,26
2016,Y20-Y25/Y28-Y30,70-79,20
2016,Y20-Y25/Y28-Y30,80+,13
2017,Y20-Y25/Y28-Y30,0-19,70
2017,Y20-Y25/Y28-Y30,20-39,122
2017,Y20-Y25/Y28-Y30,40-49,52
2017,Y20-Y25/Y28-Y30,50-59,36
2017,Y20-Y25/Y28-Y30,60-69,32
2017,Y20-Y25/Y28-Y30,70-79,29
2017,Y20-Y25/Y28-Y30,80+,18
2018,Y20-Y25/Y28-Y30,0-19,71
2018,Y20-Y25/Y28-Y30,20-39,139
2018,Y20-Y25/Y28-Y30,40-49,54
2018,Y20-Y25/Y28-Y30,50-59,42
2018,Y20-Y25/Y28-Y30,60-69,36
2018,Y20-Y25/Y28-Y30,70-79,20
2018,Y20-Y25/Y28-Y30,80+,7
2019,Y20-Y25/Y28-Y30,0-19,78
2019,Y20-Y25/Y28-Y30,20-39,189
2019,Y20-Y25/Y28-Y30,40-49,57
2019,Y20-Y25/Y28-Y30,50-59,45
2019,Y20-Y25/Y28-Y30,60-69,24
2019,Y20-Y25/Y28-Y30,70-79,24
2019,Y20-Y25/Y28-Y30,80+,19
2020,Y20-Y25/Y28-Y30,0-19,59
2020,Y20-Y25/Y28-Y30,20-39,151
2020,Y20-Y25/Y28-Y30,40-49,50
2020,Y20-Y25/Y28-Y30,50-59,36
2020,Y20-Y25/Y28-Y30,60-69,26
2020,Y20-Y25/Y28-Y30,70-79,17
2020,Y20-Y25/Y28-Y30,80+,14
2021,Y20-Y25/Y28-Y30,0-19,60
2021,Y20-Y25/Y28-Y30,20-39,208
2021,Y20-Y25/Y28-Y30,40-49,69
2021,Y20-Y25/Y28-Y30,50-59,39
2021,Y20-Y25/Y28-Y30,60-69,26
2021,Y20-Y25/Y28-Y30,70-79,26
