age,anio_def,cause,excess_total,attributable,se_attrib,lower95,upper95
04.de 50 a 59 anios,2016,circ,282.8733624645201,NA,0,NA,NA
04.de 50 a 59 anios,2016,diabetes,11.995821134662279,NA,0,NA,NA
04.de 50 a 59 anios,2016,alzheimer,4.912650207559559,NA,0,NA,NA
04.de 50 a 59 anios,2016,metabolic,0.6624455611392648,NA,0,NA,NA
04.de 50 a 59 anios,2016,anemia,19.272989585609338,NA,0,NA,NA
04.de 50 a 59 anios,2017,resp,-48.40000000000623,NA,0,NA,NA
04.de 50 a 59 anios,2017,circ,-145.40000000001453,NA,0,NA,NA
04.de 50 a 59 anios,2017,diabetes,-62.20000000000205,NA,0,NA,NA
04.de 50 a 59 anios,2017,alzheimer,-2.0000000000000124,NA,0,NA,NA
04.de 50 a 59 anios,2017,metabolic,4.59999999999986,NA,0,NA,NA
04.de 50 a 59 anios,2017,anemia,0.7999999999999221,NA,0,NA,NA
04.de 50 a 59 anios,2018,resp,22.64566746776532,NA,0,NA,NA
04.de 50 a 59 anios,2018,circ,-96.67336246451578,NA,0,NA,NA
04.de 50 a 59 anios,2018,diabetes,24.60417886533844,NA,0,NA,NA
04.de 50 a 59 anios,2018,alzheimer,-1.912650207559554,NA,0,NA,NA
04.de 50 a 59 anios,2018,metabolic,0.5375544388607834,NA,0,NA,NA
04.de 50 a 59 anios,2018,anemia,-11.67298958560931,NA,0,NA,NA
04.de 50 a 59 anios,2019,resp,66.69133493554008,NA,0,NA,NA
04.de 50 a 59 anios,2019,circ,71.05327507099025,NA,0,NA,NA
04.de 50 a 59 anios,2019,diabetes,63.40835773067998,NA,0,NA,NA
04.de 50 a 59 anios,2019,alzheimer,-2.825300415119089,NA,0,NA,NA
04.de 50 a 59 anios,2019,metabolic,0.475108877721782,NA,0,NA,NA
04.de 50 a 59 anios,2019,anemia,-6.145979171218501,NA,0,NA,NA
04.de 50 a 59 anios,2020,resp,80.73700240330851,285.15548923579627,50.35127770393373,186.46698493608613,383.8439935355064
04.de 50 a 59 anios,2020,circ,111.77991260648184,296.58750000972105,56.86180688060211,185.13835852374092,408.0366414957012
04.de 50 a 59 anios,2020,diabetes,64.21253659601948,88.87597318284914,10.186926362756502,68.90959751184639,108.84234885385189
04.de 50 a 59 anios,2020,alzheimer,1.2620493773213637,1.002247335687518,0.8420837952049753,-0.6482369029142336,2.6527315742892696
04.de 50 a 59 anios,2020,metabolic,-11.587336683417362,-1.9081698943023804,2.581375958012451,-6.967666772006785,3.151326983402024
04.de 50 a 59 anios,2020,anemia,-2.6189687568277744,-4.047681205148209,2.0628122158318773,-8.090793148178689,-0.004569262117730233
04.de 50 a 59 anios,2021,resp,1109.7826698710842,681.8553897341145,35.11640966243129,613.0272267957491,750.6835526724799
