PROVRES,SEXO,CAUSA,MAT,GRUPEDAD,CUENTA
74,1,G12,,13_60 a 64,2
06,1,C22,,04_15 a 19,1
02,2,G03,,16_75 a 79,2
22,2,K65,,17_80 y más,11
18,2,C25,,16_75 a 79,8
66,1,X09,,05_20 a 24,2
06,2,J98, ,12_55 a 59,15
06,1,I67,,13_60 a 64,11
90,1,R57,,06_25 a 29,2
22,2,A16,,14_65 a 69,1
42,2,N19,,09_40 a 44,1
26,1,Q89,,01_Menor de 1 año,2
30,1,C91,,15_70 a 74,1
30,1,V28,,07_30 a 34,1
42,2,J44,,09_40 a 44,1
34,1,V29,,06_25 a 29,1
82,1,C10,,14_65 a 69,3
58,2,D32,,16_75 a 79,1
58,1,C15,,11_50 a 54,1
06,1,Y17, ,13_60 a 64,1
06,1,W80, ,16_75 a 79,2
30,1,C16,,11_50 a 54,3
38,1,I50,,17_80 y más,21
30,1,I38,,17_80 y más,2
78,2,K72, ,04_15 a 19,1
34,1,Q33,,01_Menor de 1 año,1
06,2,G70, ,13_60 a 64,2
98,1,J18,,17_80 y más,2
66,2,C64,,15_70 a 74,3
78,2,I61,,17_80 y más,4
70,1,W37,,04_15 a 19,1
74,2,C71,,14_65 a 69,1
86,1,C18,,06_25 a 29,1
06,2,P77,,01_Menor de 1 año,13
22,2,K65,,09_40 a 44,1
82,1,I49,,10_45 a 49,4
62,2,J69,,17_80 y más,4
06,2,J80, ,14_65 a 69,5
90,1,R96,,06_25 a 29,1
82,1,W17,,05_20 a 24,1
14,2,I26, ,12_55 a 59,5
62,2,E14,,07_30 a 34,1
30,1,R96,,05_20 a 24,1
50,1,D43,,16_75 a 79,8
66,2,C25,,16_75 a 79,6
66,2,N18,,10_45 a 49,2
46,2,R09,,16_75 a 79,1
06,1,D48, ,09_40 a 44,1
18,1,Y83,,09_40 a 44,3
58,1,I71,,15_70 a 74,3
10,2,M31,,17_80 y más,1
06,2,J69, ,09_40 a 44,2
06,2,K43, ,17_80 y más,6
06,2,C91,,17_80 y más,2
34,2,N18,,15_70 a 74,2
86,1,I10,,14_65 a 69,10
06,1,C15,,17_80 y más,4
06,2,I35,,12_55 a 59,2
62,1,E14,,15_70 a 74,7
06,1,I34, ,16_75 a 79,1
26,2,I49,,15_70 a 74,3
30,1,X72,,08_35 a 39,1
54,2,G20,,17_80 y más,2
90,2,C75,,11_50 a 54,1
50,1,K85,,06_25 a 29,1
62,1,G30,,15_70 a 74,4
70,2,I61,,10_45 a 49,2
14,1,K85, ,07_30 a 34,3
82,2,J18,,11_50 a 54,5
70,1,J90,,15_70 a 74,1
62,2,I67,,14_65 a 69,2
14,2,X70, ,11_50 a 54,1
10,1,C32, ,13_60 a 64,1
22,2,A09,,17_80 y más,1
94,2,C54,,17_80 y más,1
38,2,C18,,13_60 a 64,5
14,1,I49, ,11_50 a 54,3
