"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"90","2","E66","","14_65 a 69","2"
"30","2","K42","","17_80 y más","1"
"82","1","G04","","04_15 a 19","1"
"06","1","W80","","16_75 a 79","1"
"02","1","A05","","17_80 y más","1"
"38","1","X59","","05_20 a 24","1"
"54","1","G40","","07_30 a 34","1"
"58","2","V03","","04_15 a 19","1"
"54","1","V89","","15_70 a 74","1"
"06","2","G70","","13_60 a 64","3"
"62","1","C64","","13_60 a 64","4"
"58","2","K57","","15_70 a 74","1"
"34","2","C25","","13_60 a 64","1"
"58","1","C18","","12_55 a 59","2"
"50","2","D03","","14_65 a 69","1"
"14","1","D64","","17_80 y más","11"
"06","1","V13","","12_55 a 59","1"
"58","2","J44","","17_80 y más","14"
"58","1","I71","","16_75 a 79","1"
"50","2","F03","","13_60 a 64","1"
"82","2","F10","","15_70 a 74","1"
"06","1","K80","","06_25 a 29","1"
"02","2","C32","","13_60 a 64","1"
"90","2","G04","","12_55 a 59","1"
"50","2","Y02","","15_70 a 74","1"
"30","1","J81","","12_55 a 59","1"
"38","1","J96","","16_75 a 79","3"
"50","2","X74","","10_45 a 49","1"
"26","2","J98","","16_75 a 79","1"
"06","1","I27","","16_75 a 79","2"
"34","2","N32","","17_80 y más","1"
"02","2","G71","","06_25 a 29","1"
"30","1","J18","","02_1 a 9","2"
"30","1","R98","","13_60 a 64","8"
"42","1","X74","","11_50 a 54","1"
"90","1","N39","","15_70 a 74","5"
"70","1","G82","","15_70 a 74","1"
"14","1","C18","","16_75 a 79","56"
"58","1","F17","","15_70 a 74","1"
"54","1","C90","","17_80 y más","1"
"26","1","X09","","09_40 a 44","1"
"06","1","J15","","13_60 a 64","16"
"66","1","Y04","","14_65 a 69","1"
"58","2","V48","","12_55 a 59","2"
"22","2","X09","","14_65 a 69","1"
"34","1","Q22","","01_Menor de 1 año","1"
"02","2","G35","","11_50 a 54","1"
"54","1","C18","","16_75 a 79","10"
"22","2","J96","","12_55 a 59","3"
"30","2","V48","","17_80 y más","1"
"66","2","C81","","13_60 a 64","1"
"82","2","C90","","16_75 a 79","7"
"82","2","K74","","10_45 a 49","1"
"30","1","C32","","17_80 y más","3"
"82","1","I45","","16_75 a 79","2"
"18","2","J00","","11_50 a 54","1"
"86","2","K71","","17_80 y más","1"
"74","2","V28","","04_15 a 19","1"
"82","1","D61","","14_65 a 69","1"
"38","1","G91","","02_1 a 9","1"
"98","1","K46","","12_55 a 59","1"
"50","1","C62","","10_45 a 49","2"
"38","2","C56","","16_75 a 79","2"
"06","2","D48","","09_40 a 44","1"
"06","2","W74","","14_65 a 69","1"
"82","2","Y84","","16_75 a 79","1"
"66","1","V53","","08_35 a 39","1"
"30","1","K70","","13_60 a 64","4"
"14","1","C92","","13_60 a 64","4"
"02","2","C80","","17_80 y más","48"
"82","1","J67","","13_60 a 64","2"
"82","2","K63","","12_55 a 59","2"
"78","2","C34","","13_60 a 64","3"
"90","1","C76","","16_75 a 79","1"
"22","2","N17","","10_45 a 49","1"
"06","1","D70","","04_15 a 19","1"
"90","1","I44","","17_80 y más","4"
"02","2","K74","","10_45 a 49","3"
"58","1","V24","","10_45 a 49","1"
"02","2","M16","","17_80 y más","1"
"54","2","C92","","06_25 a 29","1"
"46","1","K31","","11_50 a 54","1"
"46","1","R98","","02_1 a 9","2"
"06","1","C81","","11_50 a 54","2"
"82","1","R56","","03_10 a 14","1"
"30","1","J44","","17_80 y más","24"
"18","1","N18","","16_75 a 79","2"
"42","1","C81","","11_50 a 54","1"
"70","2","E46","","14_65 a 69","1"
"74","1","J69","","16_75 a 79","1"
"06","2","J84","","15_70 a 74","17"
"26","2","G80","","02_1 a 9","1"
"38","2","K81","","09_40 a 44","1"
"02","2","D43","","14_65 a 69","3"
"70","1","W78","","01_Menor de 1 año","2"
"02","1","I67","","08_35 a 39","1"
"02","1","L98","","17_80 y más","6"
"78","2","C43","","13_60 a 64","1"
"10","1","E14","","09_40 a 44","1"
"18","2","C95","","12_55 a 59","1"
"14","1","Q41","","01_Menor de 1 año","2"
"62","1","R57","","16_75 a 79","1"
"06","2","M23","","17_80 y más","1"
"46","1","E14","","15_70 a 74","3"
"50","1","B90","","12_55 a 59","1"
"06","2","C16","","12_55 a 59","26"
"86","1","I67","","17_80 y más","11"
"26","1","C76","","17_80 y más","1"
"22","1","N19","","08_35 a 39","1"
"99","2","C18","","12_55 a 59","1"
"82","1","R96","","15_70 a 74","21"
"18","1","K70","","11_50 a 54","4"
"50","2","I20","","13_60 a 64","1"
"06","1","J94","","17_80 y más","4"
"74","2","M06","","12_55 a 59","1"
"50","1","M33","","13_60 a 64","1"
"90","2","A09","","17_80 y más","3"
"02","2","Y34","","11_50 a 54","1"
"10","1","C80","","08_35 a 39","1"
"06","2","W84","","99_Sin especificar","1"
"06","2","C13","","13_60 a 64","1"
"62","2","I61","","13_60 a 64","3"
"30","1","C85","","12_55 a 59","1"
"66","1","W54","","17_80 y más","1"
"14","2","G12","","13_60 a 64","1"
"06","2","W84","","08_35 a 39","2"
"14","2","I05","","15_70 a 74","1"
"22","1","K70","","06_25 a 29","1"
"70","1","W73","","01_Menor de 1 año","2"
"78","2","I77","","17_80 y más","1"
"58","1","R96","","17_80 y más","3"
"42","1","C80","","16_75 a 79","8"
"90","1","J81","","15_70 a 74","2"
"30","2","N15","","14_65 a 69","1"
"06","1","E14","","07_30 a 34","7"
"10","2","N17","","16_75 a 79","1"
"02","2","C92","","12_55 a 59","3"
"82","1","C26","","17_80 y más","12"
"82","1","Y20","","17_80 y más","5"
"06","2","V04","","13_60 a 64","1"
"14","1","I51","","16_75 a 79","2"
"74","1","X47","","02_1 a 9","1"
"22","1","X95","","14_65 a 69","1"
"90","1","K92","","09_40 a 44","2"
"22","1","I63","","17_80 y más","3"
"54","1","D64","","12_55 a 59","1"
"38","2","V89","","11_50 a 54","1"
"74","1","I10","","16_75 a 79","3"
"18","2","K74","","08_35 a 39","1"
"10","1","R99","","16_75 a 79","10"
"10","2","C71","","17_80 y más","1"
"82","2","I51","","16_75 a 79","7"
