"term","estimate","std.error","statistic","p.value","age","cause","anio_def","coef","se"
"factor(month)8",-0.376844424482725,0.321417897258262,-1.17244381130378,0.243981697746522,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)9",-0.0516333853870516,0.374544597545111,-0.137856441463777,0.890648749618083,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)10",-0.10346745705812,0.427088773218657,-0.242262179542584,0.809104795698478,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)11",0.349925924787906,0.471772036140421,0.741726719647606,0.460102137361172,"01.menor a 20 anios","diabetes",NA,NA,NA
"factor(month)12",-0.0287001993604445,0.387510102868775,-0.0740630996404329,0.941117557351964,"01.menor a 20 anios","diabetes",NA,NA,NA
"covid:factor(anio_def)2020",0.625199835386851,0.261562066571103,2.39025422754449,0.0188310321184182,"01.menor a 20 anios","diabetes",NA,NA,NA
"covid:factor(anio_def)2021",0.580436374561295,0.255524840355138,2.27154578691677,0.0253949876366059,"01.menor a 20 anios","diabetes",NA,NA,NA
"covid:factor(anio_def)2022",0.602938530308734,0.254389789694985,2.37013651778894,0.0198244293706097,"01.menor a 20 anios","diabetes",NA,NA,NA
"covid:factor(anio_def)2023",0.580136286665159,0.294408700493917,1.97051339071124,0.051721583265439,"01.menor a 20 anios","diabetes",NA,NA,NA
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2015,-0.568433019868638,0.255032771433392
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2016,NA,0.255032771433392
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2017,NA,0.255032771433392
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2018,NA,0.255032771433392
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2019,NA,0.255032771433392
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2020,0.0567668155182134,0.036408104809974
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2021,0.0120033546926575,0.018946354880742
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2022,0.0345055104400965,0.00800066554566426
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2023,0.0117032667965212,0.137853657494105
NA,NA,NA,NA,NA,"01.menor a 20 anios","diabetes",2024,NA,0.255032771433392
"(Intercept)",-0.00168452931825058,0.0168772945063184,-0.0998103883071982,0.920707419979918,"01.menor a 20 anios","alzheimer",NA,NA,NA
"covid",0.00591244016104808,0.00815840064309174,0.724705787286205,0.470432618314305,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2016",-0.00833333333333292,0.0130912616681339,-0.636556929697426,0.525960576315764,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2017",-0.0166666666666622,0.0130912616681339,-1.27311385939458,0.206117199496038,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2018",0.0583333333333382,0.0814353500911421,0.71631463815225,0.475572952576463,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2019",-0.0333333333333244,0.013091261668134,-2.54622771878913,0.0125150684111064,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2020",-0.0368108577846289,0.0115859702019678,-3.17719251326719,0.0020125827455641,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2021",-0.0354136905544546,0.0176439213260482,-2.00713264925821,0.0476073915195461,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2022",-0.060004409967195,0.0142339732155074,-4.21557699025472,5.72423411916558e-05,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2023",-0.0684984201997671,0.0147566613523063,-4.64186434616944,1.11779810497637e-05,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(anio_def)2024",-0.0804197368142721,0.0176729618132832,-4.55043912072666,1.59867069708862e-05,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)2",-0.00205822142784458,0.0135479120230794,-0.151921670611554,0.879574308961589,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)3",-0.00587524277544535,0.0140201070521285,-0.419058339112568,0.676129549544507,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)4",-0.00586551122947201,0.0147221424339695,-0.39841424274894,0.691228380011259,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)5",-0.00714209556394316,0.0152084223398656,-0.469614494149185,0.639718027136416,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)6",-0.00875702278907091,0.0155172349287839,-0.564341703226193,0.573865745038566,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)7",0.0904153535970961,0.103214877691427,0.875991481261097,0.383267705369419,"01.menor a 20 anios","alzheimer",NA,NA,NA
