"age","anio_def","variable","method","cor","p.value","n"
"02.de 20 a 39 anios",2022,"resp","spearman",0.301226381385489,0.341372294714219,12
"02.de 20 a 39 anios",2022,"circ","pearson",0.035996449720248,0.911567853362301,12
"02.de 20 a 39 anios",2022,"circ","spearman",-0.203510024688526,0.52582029922024,12
"02.de 20 a 39 anios",2022,"diabetes","pearson",0.672129826337449,0.0166526385620167,12
"02.de 20 a 39 anios",2022,"diabetes","spearman",-0.0678727276706314,0.833991162671784,12
"02.de 20 a 39 anios",2022,"alzheimer","pearson",0.0315347981097767,0.922497639330797,12
"02.de 20 a 39 anios",2022,"alzheimer","spearman",0.259100110252518,0.41610570500181,12
"02.de 20 a 39 anios",2022,"metabolic","pearson",-0.11992057297867,0.710468973425733,12
"02.de 20 a 39 anios",2022,"metabolic","spearman",0.01069724373481,0.973678767899533,12
"02.de 20 a 39 anios",2022,"anemia","pearson",-0.0795418375765114,0.805894435282205,12
"02.de 20 a 39 anios",2022,"anemia","spearman",-0.050011483546781,0.877334380814968,12
"02.de 20 a 39 anios",2023,"covid","pearson",-0.214470929914588,0.503259619929343,12
"02.de 20 a 39 anios",2023,"covid","spearman",-0.416457980801338,0.17808317518886,12
"02.de 20 a 39 anios",2023,"resp","pearson",-0.482490778254818,0.112132057764716,12
"02.de 20 a 39 anios",2023,"resp","spearman",-0.406305351636241,0.189984522415267,12
"02.de 20 a 39 anios",2023,"circ","pearson",0.1495073356287,0.642818993990181,12
"02.de 20 a 39 anios",2023,"circ","spearman",0.104895104895105,0.749479042672183,12
"02.de 20 a 39 anios",2023,"diabetes","pearson",0.245779890521573,0.441294516843426,12
"02.de 20 a 39 anios",2023,"diabetes","spearman",0.249124340566989,0.434902228747323,12
"02.de 20 a 39 anios",2023,"alzheimer","pearson",-0.0607721742368713,0.851177501395481,12
"02.de 20 a 39 anios",2023,"alzheimer","spearman",-0.0368268860757697,0.9095350182965,12
"02.de 20 a 39 anios",2023,"metabolic","pearson",-0.101792831603734,0.752923002082031,12
"02.de 20 a 39 anios",2023,"metabolic","spearman",-0.0709291215421342,0.826613457894019,12
"02.de 20 a 39 anios",2023,"anemia","pearson",0.240120923180968,0.452212620774264,12
"02.de 20 a 39 anios",2023,"anemia","spearman",0.228841399949071,0.474350705189814,12
"02.de 20 a 39 anios",2024,"covid","pearson",0.49196861616676,0.104242942288708,12
"02.de 20 a 39 anios",2024,"covid","spearman",0.500952111584563,0.0971151279628892,12
"02.de 20 a 39 anios",2024,"resp","pearson",0.157380211926835,0.625205922363579,12
