"age","anio_def","cause","method","cor","p.value","n"
"02.de 20 a 39 anios",2019,"circ","spearman",NA,NA,12
"02.de 20 a 39 anios",2020,"circ","pearson",0.0961964551788024,0.766163215634068,12
"02.de 20 a 39 anios",2020,"circ","spearman",-0.105078970250752,0.745176621912518,12
"02.de 20 a 39 anios",2021,"circ","pearson",0.501548191871799,0.0966540771660667,12
"02.de 20 a 39 anios",2021,"circ","spearman",0.503496503496504,0.0987515700723274,12
"02.de 20 a 39 anios",2022,"circ","pearson",-0.10550653920378,0.74417029327608,12
"02.de 20 a 39 anios",2022,"circ","spearman",-0.609458027454361,0.0353946454668789,12
"02.de 20 a 39 anios",2023,"circ","pearson",-0.596554067008383,0.0406040943237691,12
"02.de 20 a 39 anios",2023,"circ","spearman",-0.577196148829925,0.0494071552650681,12
"02.de 20 a 39 anios",2024,"circ","pearson",-0.00498161902282758,0.987740952576365,12
"02.de 20 a 39 anios",2024,"circ","spearman",0.166984037194854,0.603962298781814,12
"02.de 20 a 39 anios",2015,"diabetes","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"diabetes","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"diabetes","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"diabetes","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"diabetes","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"diabetes","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"diabetes","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"diabetes","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"diabetes","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"diabetes","spearman",NA,NA,12
"02.de 20 a 39 anios",2020,"diabetes","pearson",0.337164385799103,0.283839625278792,12
"02.de 20 a 39 anios",2020,"diabetes","spearman",0.115586867275827,0.72055456354042,12
"02.de 20 a 39 anios",2021,"diabetes","pearson",0.379230434198795,0.224073459338491,12
"02.de 20 a 39 anios",2021,"diabetes","spearman",0.433566433566434,0.161446426349823,12
"02.de 20 a 39 anios",2022,"diabetes","pearson",0.769385252474759,0.00343589847860454,12
"02.de 20 a 39 anios",2022,"diabetes","spearman",0.171628984742895,0.59378680601684,12
"02.de 20 a 39 anios",2023,"diabetes","pearson",-0.243752509814486,0.445191354595915,12
"02.de 20 a 39 anios",2023,"diabetes","spearman",-0.789078279413062,0.00227906603131314,12
"02.de 20 a 39 anios",2024,"diabetes","pearson",-0.339101541014726,0.280906403158386,12
"02.de 20 a 39 anios",2024,"diabetes","spearman",-0.21672396316779,0.498676272785028,12
"02.de 20 a 39 anios",2015,"alzheimer","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"alzheimer","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"alzheimer","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"alzheimer","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"alzheimer","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"alzheimer","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"alzheimer","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"alzheimer","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"alzheimer","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"alzheimer","spearman",NA,NA,12
"02.de 20 a 39 anios",2020,"alzheimer","pearson",0.215929680279567,0.500289950456023,12
"02.de 20 a 39 anios",2020,"alzheimer","spearman",0.858144923714474,0.000354759007349312,12
"02.de 20 a 39 anios",2021,"alzheimer","pearson",0.018590220305104,0.954271704245577,12
"02.de 20 a 39 anios",2021,"alzheimer","spearman",-0.356643356643357,0.256012537309024,12
"02.de 20 a 39 anios",2022,"alzheimer","pearson",-0.212113637948896,0.508074979699378,12
"02.de 20 a 39 anios",2022,"alzheimer","spearman",-0.469352733786692,0.123706328208118,12
"02.de 20 a 39 anios",2023,"alzheimer","pearson",-0.295400787233873,0.351247116302114,12
